"","name","id","align","eye","hair","sex","gsm","alive","appearances","year"
"4896","tullamore voge (earth-616)","public identity","bad characters","white eyes","brown hair","male characters","heterosexual characters","living characters",6,"2000"
"4897","vanium (earth-616)","public identity","good characters","blue eyes","blond hair","male characters","heterosexual characters","living characters",6,"2000"
"4898","bete noir (earth-616)","secret identity","bad characters","variable eyes","no hair","","heterosexual characters","living characters",6,"2001"
"4899","buford lange (earth-616)","","bad characters","","","male characters","heterosexual characters","living characters",6,"2001"
"4900","elaine kendrick (earth-616)","","good characters","","blond hair","female characters","heterosexual characters","living characters",6,"2001"
"4901","elizabeth hudson (earth-616)","no dual identity","neutral characters","blue eyes","red hair","female characters","heterosexual characters","deceased characters",6,"2001"
"4902","hector rendoza (earth-616)","secret identity","good characters","blue eyes","brown hair","male characters","heterosexual characters","living characters",6,"2001"
"4903","lucy robinson (earth-616)","secret identity","neutral characters","","blond hair","female characters","heterosexual characters","living characters",6,"2001"
"4904","malon estella reeves (earth-616)","secret identity","bad characters","brown eyes","brown hair","female characters","heterosexual characters","deceased characters",6,"2001"
"4905","nagala (earth-616)","public identity","bad characters","red eyes","green hair","female characters","heterosexual characters","living characters",6,"2001"
"4906","paul provenzano (earth-616)","no dual identity","good characters","brown eyes","black hair","male characters","heterosexual characters","deceased characters",6,"2001"
"4907","samuel griggs (earth-616)","","","","","male characters","heterosexual characters","living characters",6,"2001"
"4908","sugar kane (earth-616)","public identity","good characters","","blond hair","female characters","bisexual characters","living characters",6,"2001"
"4909","angel dust (christina) (earth-616)","secret identity","good characters","yellow eyes","black hair","female characters","heterosexual characters","living characters",6,"2002"
"4910","apache kid (rosa) (earth-616)","secret identity","good characters","brown eyes","black hair","female characters","heterosexual characters","living characters",6,"2002"
"4911","arnold lundberg (earth-616)","public identity","neutral characters","blue eyes","blond hair","male characters","heterosexual characters","deceased characters",6,"2002"
"4912","augustus tuneski (earth-616)","","bad characters","","","male characters","heterosexual characters","living characters",6,"2002"
"4913","higashi (earth-616)","public identity","bad characters","brown eyes","bald","male characters","heterosexual characters","living characters",6,"2002"
"4914","jacob nash (earth-616)","","","brown eyes","black hair","male characters","heterosexual characters","living characters",6,"2002"
"4915","koyami sazaki (counter-earth) (earth-616)","","","","","male characters","heterosexual characters","living characters",6,"2002"
"4916","lloyd bloch (heroes reborn) (earth-616)","public identity","bad characters","","","male characters","heterosexual characters","living characters",6,"2002"
"4917","postman (david) (earth-616)","secret identity","","","black hair","male characters","heterosexual characters","living characters",6,"2002"
"4918","saguri (earth-616)","secret identity","bad characters","green eyes","red hair","female characters","heterosexual characters","deceased characters",6,"2002"
"4919","shatter (earth-616)","secret identity","neutral characters","yellow eyes","no hair","male characters","heterosexual characters","living characters",6,"2002"
"4920","thomas more (earth-616)","public identity","good characters","blue eyes","auburn hair","male characters","heterosexual characters","living characters",6,"2002"
"4921","blake burdick (earth-616)","no dual identity","good characters","","brown hair","male characters","heterosexual characters","living characters",6,"2003"
"4922","claire hudson (earth-616)","public identity","neutral characters","blue eyes","red hair","female characters","heterosexual characters","living characters",6,"2003"
"4923","ginniyeh (earth-616)","secret identity","bad characters","","bald","female characters","heterosexual characters","deceased characters",6,"2003"
"4924","greg (sentinel) (earth-616)","no dual identity","neutral characters","blue eyes","blond hair","male characters","heterosexual characters","living characters",6,"2003"
"4925","henrietta hunter (earth-616)","public identity","good characters","","black hair","female characters","heterosexual characters","living characters",6,"2003"
"4926","jillian (earth-616)","secret identity","bad characters","yellow eyes","blue hair","female characters","heterosexual characters","living characters",6,"2003"
"4927","josh arndt (earth-616)","public identity","neutral characters","brown eyes","black hair","male characters","heterosexual characters","living characters",6,"2003"
"4928","ophis (earth-616)","secret identity","bad characters","brown eyes","brown hair","male characters","heterosexual characters","deceased characters",6,"2003"
"4929","topher (earth-616)","secret identity","bad characters","brown eyes","brown hair","male characters","heterosexual characters","deceased characters",6,"2003"
"4930","william hanover (earth-616)","","good characters","","brown hair","male characters","heterosexual characters","living characters",6,"2003"
"4931","yidrazil (earth-616)","secret identity","bad characters","one eye","black hair","male characters","heterosexual characters","deceased characters",6,"2003"
"4932","aamshed (earth-616)","secret identity","","blue eyes","blond hair","female characters","heterosexual characters","living characters",6,"2004"
"4933","angelo fortunato (earth-616)","secret identity","bad characters","brown eyes","brown hair","male characters","heterosexual characters","deceased characters",6,"2004"
"4934","caiman (earth-616)","secret identity","","","","male characters","heterosexual characters","living characters",6,"2004"
"4935","campbell saint-ange (earth-616)","","good characters","brown eyes","blond hair","male characters","heterosexual characters","living characters",6,"2004"
"4936","christine mcdermott (earth-616)","public identity","neutral characters","brown eyes","brown hair","female characters","heterosexual characters","living characters",6,"2004"
"4937","damocles rivas (earth-616)","secret identity","bad characters","","","male characters","heterosexual characters","deceased characters",6,"2004"
"4938","hope lee (earth-616)","secret identity","","brown eyes","black hair","female characters","heterosexual characters","living characters",6,"2004"
"4939","jessica vale (earth-616)","secret identity","good characters","brown eyes","black hair","female characters","heterosexual characters","living characters",6,"2004"
"4940","jim mulligan (earth-616)","","","brown eyes","white hair","male characters","heterosexual characters","deceased characters",6,"2004"
"4941","julia cabot (earth-616)","secret identity","good characters","brown eyes","brown hair","female characters","heterosexual characters","deceased characters",6,"2004"
"4942","justin pierce (earth-616)","public identity","good characters","blue eyes","black hair","male characters","heterosexual characters","living characters",6,"2004"
"4943","kestrel (earth-616)","public identity","bad characters","blue eyes","blond hair","female characters","heterosexual characters","living characters",6,"2004"
"4944","kika (earth-616)","public identity","good characters","green eyes","pink hair","female characters","heterosexual characters","living characters",6,"2004"
"4945","lara king (earth-616)","public identity","neutral characters","","black hair","female characters","heterosexual characters","living characters",6,"2004"
"4946","lightning rod (earth-616)","secret identity","neutral characters","","bald","male characters","heterosexual characters","living characters",6,"2004"
"4947","lili penrose (earth-616)","","bad characters","","blond hair","female characters","heterosexual characters","living characters",6,"2004"
"4948","max hunter (earth-616)","public identity","bad characters","","black hair","male characters","heterosexual characters","living characters",6,"2004"
"4949","nia noble (earth-616)","public identity","","","blond hair","female characters","heterosexual characters","living characters",6,"2004"
"4950","orlean cooper (earth-616)","","bad characters","","","male characters","heterosexual characters","living characters",6,"2004"
"4951","rachel leighton (lmd) (earth-616)","secret identity","bad characters","green eyes","blond hair","female characters","heterosexual characters","deceased characters",6,"2004"
"4952","skornn (earth-616)","secret identity","bad characters","blue eyes","no hair","male characters","heterosexual characters","living characters",6,"2004"
"4953","swad (earth-616)","public identity","good characters","","no hair","male characters","heterosexual characters","living characters",6,"2004"
"4954","troy killkelly (earth-616)","public identity","neutral characters","brown eyes","brown hair","male characters","heterosexual characters","deceased characters",6,"2004"
"4955","amos flood (earth-616)","no dual identity","","","bald","male characters","heterosexual characters","living characters",6,"2005"
"4956","bradley beemer (earth-616)","public identity","good characters","","brown hair","male characters","heterosexual characters","living characters",6,"2005"
"4957","constance macdermid (earth-616)","no dual identity","","","blond hair","female characters","heterosexual characters","living characters",6,"2005"
"4958","cornfed (earth-616)","secret identity","good characters","red eyes","blond hair","male characters","heterosexual characters","living characters",6,"2005"
"4959","elisbeth von strucker (earth-616)","","bad characters","","white hair","female characters","heterosexual characters","deceased characters",6,"2005"
"4960","ellis kincaid (earth-616)","public identity","neutral characters","grey eyes","brown hair","male characters","heterosexual characters","living characters",6,"2005"
"4961","emily flood (earth-616)","no dual identity","","","brown hair","female characters","heterosexual characters","living characters",6,"2005"
"4962","gothic lolita (earth-616)","secret identity","good characters","red eyes","black hair","female characters","heterosexual characters","living characters",6,"2005"
"4963","hollowpoint ninja (earth-616)","secret identity","good characters","red eyes","brown hair","male characters","heterosexual characters","living characters",6,"2005"
"4964","homebrew (earth-616)","secret identity","good characters","","","male characters","heterosexual characters","living characters",6,"2005"
"4965","hoss (demon) (earth-616)","secret identity","bad characters","black eyes","bald","male characters","heterosexual characters","living characters",6,"2005"
"4966","joel flood (earth-616)","no dual identity","","","brown hair","male characters","heterosexual characters","deceased characters",6,"2005"
"4967","marianella mancha (earth-616)","public identity","neutral characters","brown eyes","black hair","female characters","heterosexual characters","deceased characters",6,"2005"
"4968","mariano lopez (earth-616)","public identity","bad characters","blue eyes","black hair","male characters","heterosexual characters","deceased characters",6,"2005"
"4969","martin bastelli (earth-616)","","","brown eyes","black hair","male characters","heterosexual characters","living characters",6,"2005"
"4970","mary bastelli (earth-616)","","","blue eyes","blond hair","male characters","heterosexual characters","living characters",6,"2005"
"4971","mutant crocodiles (earth-616)","secret identity","","","","","heterosexual characters","living characters",6,"2005"
"4972","reginald mantz (earth-616)","secret identity","bad characters","blue eyes","grey hair","male characters","heterosexual characters","living characters",6,"2005"
"4973","social butterfly (earth-616)","secret identity","good characters","","","female characters","heterosexual characters","living characters",6,"2005"
"4974","troy goddard (earth-616)","","good characters","brown eyes","brown hair","male characters","heterosexual characters","living characters",6,"2005"
"4975","winston hobbes (earth-616)","secret identity","bad characters","white eyes","black hair","male characters","heterosexual characters","living characters",6,"2005"
"4976","celia ricadonna (earth-616)","secret identity","","green eyes","green hair","female characters","heterosexual characters","living characters",6,"2006"
"4977","dixie (blaze) (earth-616)","","good characters","blue eyes","blond hair","female characters","heterosexual characters","deceased characters",6,"2006"
"4978","eradica (earth-616)","public identity","bad characters","green eyes","no hair","female characters","heterosexual characters","deceased characters",6,"2006"
"4979","gelt (earth-616)","","","","","","heterosexual characters","living characters",6,"2006"
"4980","guy thierrault (earth-616)","secret identity","bad characters","","","male characters","heterosexual characters","living characters",6,"2006"
"4981","neil crawford (earth-616)","no dual identity","good characters","brown eyes","brown hair","male characters","heterosexual characters","living characters",6,"2006"
"4982","petra (earth-616)","secret identity","good characters","brown eyes","blond hair","female characters","heterosexual characters","deceased characters",6,"2006"
"4983","preak (earth-616)","","good characters","green eyes","no hair","agender characters","heterosexual characters","deceased characters",6,"2006"
"4984","suzanne chan (earth-616)","secret identity","good characters","brown eyes","black hair","female characters","heterosexual characters","deceased characters",6,"2006"
"4985","absynthe (earth-616)","secret identity","bad characters","green eyes","black hair","female characters","heterosexual characters","living characters",6,"2007"
"4986","ernst erskine (earth-616)","secret identity","neutral characters","green eyes","white hair","male characters","heterosexual characters","living characters",6,"2007"
"4987","hate-monger (national force) (earth-616)","secret identity","bad characters","brown eyes","bald","male characters","heterosexual characters","deceased characters",6,"2007"
"4988","jamal peoples (earth-616)","secret identity","bad characters","hazel eyes","brown hair","male characters","heterosexual characters","living characters",6,"2007"
"4989","kamar (earth-616)","no dual identity","bad characters","","black hair","male characters","heterosexual characters","deceased characters",6,"2007"
"4990","nicole (robot) (earth-616)","secret identity","bad characters","blue eyes","brown hair","female characters","heterosexual characters","deceased characters",6,"2007"
"4991","oberon (earth-616)","","neutral characters","gold eyes","black hair","male characters","heterosexual characters","living characters",6,"2007"
"4992","red ronin (uj1-dx) (earth-616)","secret identity","good characters","brown eyes","red hair","female characters","heterosexual characters","living characters",6,"2007"
"4993","steven rogers (onslaught reborn) (earth-616)","public identity","good characters","blue eyes","blond hair","male characters","heterosexual characters","living characters",6,"2007"
"4994","tatiana arocha (earth-616)","public identity","good characters","brown eyes","black hair","female characters","heterosexual characters","deceased characters",6,"2007"
"4995","trenton craft (earth-616)","secret identity","good characters","brown eyes","blond hair","male characters","heterosexual characters","living characters",6,"2007"
"4996","tristan (street arabs) (earth-616)","secret identity","good characters","blue eyes","bald","male characters","heterosexual characters","living characters",6,"2007"
"4997","bendigeidfran (earth-616)","public identity","bad characters","brown eyes","brown hair","male characters","heterosexual characters","living characters",6,"2008"
"4998","clinton barton (skrull) (earth-616)","secret identity","bad characters","green eyes","no hair","male characters","heterosexual characters","deceased characters",6,"2008"
"4999","doctor tramma (earth-616)","","bad characters","blue eyes","black hair","female characters","heterosexual characters","living characters",6,"2008"
"5000","edward black wolf (earth-616)","secret identity","good characters","","brown hair","male characters","heterosexual characters","living characters",6,"2008"
"5001","emma frost (skrull) (earth-616)","secret identity","bad characters","green eyes","blond hair","female characters","heterosexual characters","deceased characters",6,"2008"
"5002","ethan warren (earth-616)","public identity","bad characters","blue eyes","black hair","male characters","heterosexual characters","deceased characters",6,"2008"
"5003","fiona fitzhugh (earth-616)","public identity","good characters","","orange hair","female characters","heterosexual characters","living characters",6,"2008"
"5004","jean grey (skrull) (earth-616)","secret identity","bad characters","green eyes","red hair","female characters","heterosexual characters","deceased characters",6,"2008"
"5005","lena sendak (earth-616)","","","","","female characters","heterosexual characters","living characters",6,"2008"
"5006","lillie mcgurty (earth-616)","secret identity","good characters","green eyes","grey hair","female characters","heterosexual characters","living characters",6,"2008"
"5007","lisa parfrey (earth-616)","public identity","","","blond hair","female characters","heterosexual characters","deceased characters",6,"2008"
"5008","luke cage (skrull) (earth-616)","secret identity","bad characters","green eyes","no hair","male characters","heterosexual characters","deceased characters",6,"2008"
"5009","michael van patrick (kia) (earth-616)","secret identity","bad characters","white eyes","brown hair","male characters","heterosexual characters","living characters",6,"2008"
"5010","mister eleven (earth-616)","secret identity","neutral characters","variable eyes","variable hair","male characters","heterosexual characters","living characters",6,"2008"
"5011","nathan jefferson (earth-616)","","","","","male characters","heterosexual characters","living characters",6,"2008"
"5012","peter parker (skrull) (earth-616)","secret identity","bad characters","green eyes","no hair","male characters","heterosexual characters","living characters",6,"2008"
"5013","retcon (leila) (earth-616)","secret identity","good characters","","white hair","female characters","heterosexual characters","living characters",6,"2008"
"5014","robert carr (earth-616)","public identity","","blue eyes","black hair","male characters","heterosexual characters","living characters",6,"2008"
"5015","shoba mirza (earth-616)","secret identity","","brown eyes","black hair","female characters","heterosexual characters","living characters",6,"2008"
"5016","simon williams (skrull) (earth-616)","secret identity","bad characters","green eyes","no hair","male characters","heterosexual characters","living characters",6,"2008"
"5017","thor odinson (skrull) (earth-616)","secret identity","bad characters","green eyes","blond hair","male characters","heterosexual characters","deceased characters",6,"2008"
"5018","vision (skrull) (earth-616)","secret identity","bad characters","green eyes","no hair","male characters","heterosexual characters","deceased characters",6,"2008"
"5019","yuen yee (earth-616)","no dual identity","good characters","brown eyes","black hair","male characters","heterosexual characters","living characters",6,"2008"
"5020","alexa reilly (earth-616)","no dual identity","good characters","","red hair","female characters","heterosexual characters","living characters",6,"2009"
"5021","ban-luck (earth-616)","secret identity","good characters","black eyes","black hair","female characters","heterosexual characters","living characters",6,"2009"
"5022","charlie chainsaw (earth-616)","","bad characters","brown eyes","brown hair","male characters","heterosexual characters","living characters",6,"2009"
"5023","death reaper (earth-616)","secret identity","bad characters","brown eyes","black hair","female characters","heterosexual characters","living characters",6,"2009"
"5024","marci sabol (earth-616)","secret identity","neutral characters","brown eyes","blond hair","female characters","heterosexual characters","deceased characters",6,"2009"
"5025","master po (earth-616)","public identity","good characters","grey eyes","white hair","male characters","heterosexual characters","living characters",6,"2009"
"5026","ohyaku (earth-616)","secret identity","bad characters","","black hair","female characters","heterosexual characters","living characters",6,"2009"
"5027","zhang chin (earth-616)","","bad characters","","","male characters","heterosexual characters","deceased characters",6,"2009"
"5028","zzxz (earth-616)","no dual identity","bad characters","white eyes","no hair","agender characters","heterosexual characters","living characters",6,"2009"
"5029","anti-priest (earth-616)","public identity","bad characters","black eyes","bald","male characters","heterosexual characters","living characters",6,"2010"
"5030","broken blade (earth-616)","secret identity","neutral characters","red eyes","black hair","female characters","heterosexual characters","living characters",6,"2010"
"5031","cecilia (s.w.o.r.d.) (earth-616)","public identity","good characters","brown eyes","brown hair","female characters","heterosexual characters","living characters",6,"2010"
"5032","dennis sykes (earth-616)","public identity","good characters","brown eyes","brown hair","male characters","heterosexual characters","deceased characters",6,"2010"
"5033","jaime slade (earth-616)","secret identity","bad characters","","brown hair","female characters","heterosexual characters","living characters",6,"2010"
"5034","loca (inferno baby) (earth-616)","secret identity","bad characters","brown eyes","black hair","female characters","heterosexual characters","deceased characters",6,"2010"
"5035","plutonia ii (earth-616)","secret identity","good characters","","no hair","female characters","heterosexual characters","living characters",6,"2010"
"5036","prax ord (earth-616)","secret identity","good characters","","no hair","male characters","heterosexual characters","living characters",6,"2010"
"5037","teela coldassian (earth-616)","public identity","good characters","red eyes","white hair","female characters","heterosexual characters","living characters",6,"2010"
"5038","uthana thoth (earth-616)","public identity","bad characters","yellow eyes","white hair","male characters","heterosexual characters","living characters",6,"2010"
"5039","warhead (earth-616)","secret identity","bad characters","green eyes","green hair","male characters","heterosexual characters","deceased characters",6,"2010"
"5040","william grant nelson (earth-616)","secret identity","neutral characters","green eyes","orange hair","male characters","heterosexual characters","living characters",6,"2010"
"5041","brady briedel (earth-616)","secret identity","bad characters","green eyes","no hair","male characters","heterosexual characters","living characters",6,"2011"
"5042","carolina washington (earth-616)","public identity","bad characters","","black hair","female characters","heterosexual characters","living characters",6,"2011"
"5043","evolutionary (earth-616)","secret identity","bad characters","brown eyes","brown hair","male characters","heterosexual characters","living characters",6,"2011"
"5044","helene panayiotou (earth-616)","public identity","neutral characters","","black hair","female characters","heterosexual characters","living characters",6,"2011"
"5045","michelangelo simoni (earth-616)","secret identity","neutral characters","","","male characters","heterosexual characters","living characters",6,"2011"
"5046","mike zelinsky (earth-616)","public identity","good characters","","","male characters","heterosexual characters","living characters",6,"2011"
"5047","nicolae dinu (earth-616)","","bad characters","","black hair","male characters","heterosexual characters","deceased characters",6,"2011"
"5048","orksa (earth-616)","no dual identity","neutral characters","white eyes","no hair","female characters","heterosexual characters","living characters",6,"2011"
"5049","rhea (warhawk) (earth-616)","public identity","neutral characters","brown eyes","black hair","female characters","heterosexual characters","living characters",6,"2011"
"5050","robert jema (earth-616)","secret identity","bad characters","","brown hair","male characters","heterosexual characters","living characters",6,"2011"
"5051","sun wukong (earth-616)","secret identity","good characters","black eyes","bald","male characters","heterosexual characters","living characters",6,"2011"
"5052","ultimate nullifier (teen brigade) (earth-616)","public identity","good characters","blue eyes","white hair","male characters","heterosexual characters","living characters",6,"2011"
"5053","uravo (earth-616)","secret identity","neutral characters","yellow eyes","no hair","female characters","heterosexual characters","living characters",6,"2011"
"5054","vladimir dinu (earth-616)","","bad characters","","black hair","male characters","heterosexual characters","living characters",6,"2011"
"5055","borya cich (earth-616)","no dual identity","bad characters","blue eyes","bald","male characters","heterosexual characters","deceased characters",6,"2012"
"5056","gabriel shepherd (earth-616)","secret identity","good characters","blue eyes","brown hair","male characters","heterosexual characters","living characters",6,"2012"
"5057","ivan banionis (earth-616)","public identity","bad characters","","bald","male characters","heterosexual characters","living characters",6,"2012"
"5058","lasher (war dog) (earth-616)","public identity","good characters","","green hair","female characters","heterosexual characters","living characters",6,"2012"
"5059","mzee (earth-616)","secret identity","bad characters","yellow eyes","no hair","male characters","heterosexual characters","living characters",6,"2012"
"5060","omega red (omega clan) (earth-616)","secret identity","bad characters","","black hair","male characters","heterosexual characters","deceased characters",6,"2012"
"5061","omega white (earth-616)","secret identity","bad characters","white eyes","no hair","male characters","heterosexual characters","living characters",6,"2012"
"5062","prester omega (earth-616)","secret identity","neutral characters","blue eyes","","male characters","heterosexual characters","living characters",6,"2012"
"5063","remlik (earth-616)","no dual identity","bad characters","blue eyes","blond hair","male characters","heterosexual characters","living characters",6,"2012"
"5064","saber (earth-616)","secret identity","good characters","","","male characters","heterosexual characters","living characters",6,"2012"
"5065","tsar sultan (earth-616)","secret identity","bad characters","black eyes","brown hair","male characters","heterosexual characters","living characters",6,"2012"
"5066","kazimierz kazimierczak (earth-616)","public identity","bad characters","blue eyes","blond hair","male characters","heterosexual characters","living characters",6,"2013"
"5067","anna kefkin (earth-616)","no dual identity","good characters","black eyes","brown hair","female characters","heterosexual characters","living characters",6,"need to drop"
"5068","jeffrey haight (earth-616)","public identity","neutral characters","black eyes","black hair","male characters","heterosexual characters","living characters",6,"need to drop"
"5069","kobe (earth-616)","public identity","","","black hair","male characters","heterosexual characters","living characters",6,"need to drop"
"5070","milo (earth-616)","public identity","","black eyes","black hair","male characters","heterosexual characters","deceased characters",6,"need to drop"
"5071","scarlett mckenzie (earth-616)","","","","red hair","female characters","heterosexual characters","living characters",6,"need to drop"
"5072","shredder (earth-616)","secret identity","bad characters","red eyes","bald","male characters","heterosexual characters","deceased characters",6,"need to drop"
"5073","termagaira (earth-616)","secret identity","bad characters","","black hair","male characters","heterosexual characters","living characters",6,"need to drop"
"5074","valeria (hyborian era) (earth-616)","public identity","","","blond hair","female characters","heterosexual characters","living characters",6,"need to drop"
"5075","ana cortes (earth-616)","public identity","neutral characters","brown eyes","black hair","female characters","heterosexual characters","deceased characters",6,"need to drop"
"5076","angie huang (earth-616)","public identity","good characters","brown eyes","brown hair","female characters","heterosexual characters","living characters",6,"need to drop"
"5077","dario agger (earth-616)","secret identity","bad characters","blue eyes","black hair","male characters","heterosexual characters","living characters",6,"need to drop"
"5078","dawn greenwood (earth-616)","no dual identity","good characters","green eyes","","female characters","heterosexual characters","living characters",6,"need to drop"
"5079","georgia dakei (earth-616)","no dual identity","neutral characters","brown eyes","black hair","female characters","heterosexual characters","living characters",6,"need to drop"
"5080","horace littleton (earth-616)","","bad characters","","","male characters","heterosexual characters","living characters",6,"need to drop"
"5081","pedro olivera (earth-616)","no dual identity","good characters","brown eyes","brown hair","male characters","heterosexual characters","living characters",6,"need to drop"
"5082","robbie reyes (earth-616)","secret identity","good characters","brown eyes","black hair","male characters","heterosexual characters","living characters",6,"need to drop"
"5083","tanalth (earth-616)","public identity","neutral characters","green eyes","red hair","female characters","heterosexual characters","living characters",6,"need to drop"
"5084","tic (earth-616)","no dual identity","neutral characters","black eyes","black hair","female characters","heterosexual characters","living characters",6,"need to drop"
"5085","anthony sardo (earth-616)","no dual identity","bad characters","","","male characters","heterosexual characters","deceased characters",5,"1939"
"5086","benito mussolini (earth-616)","no dual identity","bad characters","","","male characters","heterosexual characters","deceased characters",5,"1940"
"5087","jim taylor (earth-616)","","good characters","brown eyes","brown hair","male characters","heterosexual characters","living characters",5,"1940"
"5088","robert foster (earth-616)","public identity","good characters","blue eyes","red hair","male characters","heterosexual characters","living characters",5,"1940"
"5089","satan (black widow creator) (earth-616)","secret identity","bad characters","","black hair","male characters","heterosexual characters","living characters",5,"1940"
"5090","trojak (earth-616)","secret identity","good characters","brown eyes","brown hair","male characters","heterosexual characters","living characters",5,"1940"
"5091","davey drew (earth-616)","public identity","good characters","","black hair","male characters","heterosexual characters","living characters",5,"1941"
"5092","moon man (earth-616)","secret identity","good characters","","","male characters","heterosexual characters","deceased characters",5,"1941"
"5093","tanir (earth-616)","public identity","good characters","","blond hair","male characters","heterosexual characters","living characters",5,"1941"
"5094","jerry dash (earth-616)","public identity","good characters","","blond hair","male characters","heterosexual characters","living characters",5,"1942"
"5095","elise winters (earth-616)","","bad characters","","blond hair","female characters","heterosexual characters","deceased characters",5,"1946"
"5096","diablo (bear) (earth-616)","public identity","","brown eyes","black hair","male characters","heterosexual characters","living characters",5,"1949"
"5097","witness (1949) (earth-616)","secret identity","neutral characters","","","male characters","heterosexual characters","living characters",5,"1949"
"5098","lucrezia borgia (earth-616)","","bad characters","","","female characters","heterosexual characters","living characters",5,"1950"
"5099","otto von schmittsder (earth-616)","secret identity","bad characters","brown eyes","bald","male characters","heterosexual characters","living characters",5,"1951"
"5100","agu (earth-616)","no dual identity","neutral characters","","brown hair","male characters","heterosexual characters","living characters",5,"1953"
"5101","chief wilson (earth-616)","public identity","good characters","","black hair","male characters","heterosexual characters","living characters",5,"1953"
"5102","general olga (earth-616)","public identity","bad characters","","black hair","female characters","heterosexual characters","living characters",5,"1953"
"5103","manchuria mary (earth-616)","public identity","bad characters","","black hair","female characters","heterosexual characters","deceased characters",5,"1953"
"5104","medusa (earth-616)","secret identity","bad characters","green eyes","green hair","female characters","heterosexual characters","deceased characters",5,"1953"
"5105","andy crockett (earth-616)","no dual identity","good characters","","blond hair","male characters","heterosexual characters","living characters",5,"1954"
"5106","leopard girl (gwen) (earth-616)","secret identity","good characters","","blond hair","female characters","heterosexual characters","living characters",5,"1954"
"5107","el alemain (earth-616)","public identity","good characters","","black hair","male characters","heterosexual characters","living characters",5,"1955"
"5108","justice (horse) (earth-616)","public identity","good characters","","white hair","","heterosexual characters","living characters",5,"1955"
"5109","rosamund (earth-616)","public identity","good characters","","black hair","female characters","heterosexual characters","living characters",5,"1955"
"5110","sir lancelot (earth-616)","public identity","good characters","","black hair","male characters","heterosexual characters","living characters",5,"1955"
"5111","craig farnsworth (earth-616)","public identity","neutral characters","","black hair","male characters","heterosexual characters","living characters",5,"1956"
"5112","carl hanson (earth-616)","secret identity","good characters","","","male characters","heterosexual characters","living characters",5,"1960"
"5113","gorgolla (earth-616)","secret identity","bad characters","","no hair","male characters","heterosexual characters","living characters",5,"1960"
"5114","chan liuchow (earth-616)","public identity","good characters","","black hair","male characters","heterosexual characters","living characters",5,"1961"
"5115","diane cummings (earth-616)","public identity","good characters","blue eyes","blond hair","female characters","heterosexual characters","living characters",5,"1961"
"5116","gargantus (aquatic monster) (earth-616)","public identity","bad characters","yellow eyes","no hair","male characters","heterosexual characters","living characters",5,"1961"
"5117","x (monster) (earth-616)","secret identity","bad characters","variable eyes","variable hair","","heterosexual characters","living characters",5,"1961"
"5118","monster from mars (earth-616)","secret identity","bad characters","","","","heterosexual characters","deceased characters",5,"1962"
"5119","nina tsiolkovsky (earth-616)","secret identity","bad characters","brown eyes","black hair","female characters","heterosexual characters","living characters",5,"1962"
"5120","phineas (fifth dimension) (earth-616)","","good characters","","white hair","male characters","heterosexual characters","living characters",5,"1962"
"5121","tim boo ba (earth-616)","","bad characters","purple eyes","black hair","male characters","heterosexual characters","living characters",5,"1962"
"5122","bill bishop (earth-616)","no dual identity","good characters","","brown hair","male characters","heterosexual characters","living characters",5,"1963"
"5123","carlo strange (earth-616)","public identity","bad characters","green eyes","brown hair","male characters","heterosexual characters","living characters",5,"1963"
"5124","colonel hendershoot (earth-616)","public identity","good characters","","black hair","male characters","heterosexual characters","living characters",5,"1963"
"5125","dorian murdstone (earth-616)","public identity","bad characters","black eyes","black hair","male characters","heterosexual characters","living characters",5,"1963"
"5126","pete (nypd) (earth-616)","","","","","male characters","heterosexual characters","living characters",5,"1963"
"5127","vernon van dyne (earth-616)","public identity","","","grey hair","male characters","heterosexual characters","deceased characters",5,"1963"
"5128","aggamon (earth-616)","secret identity","bad characters","green eyes","no hair","male characters","heterosexual characters","living characters",5,"1964"
"5129","antonio rojo (earth-616)","","bad characters","brown eyes","black hair","male characters","heterosexual characters","living characters",5,"1964"
"5130","bull brogin (earth-616)","","bad characters","","brown hair","male characters","heterosexual characters","living characters",5,"1964"
"5131","emnu (earth-616)","","neutral characters","","bald","male characters","heterosexual characters","living characters",5,"1964"
"5132","franklin storm (earth-616)","no dual identity","good characters","blue eyes","grey hair","male characters","heterosexual characters","deceased characters",5,"1964"
"5133","harold kane (earth-616)","","bad characters","blue eyes","brown hair","male characters","heterosexual characters","living characters",5,"1964"
"5134","harry phillips (earth-616)","","bad characters","","","male characters","heterosexual characters","living characters",5,"1964"
"5135","ikor (watcher) (earth-616)","","neutral characters","","white hair","male characters","heterosexual characters","living characters",5,"1964"
"5136","redford raven (earth-616)","secret identity","bad characters","brown eyes","red hair","male characters","heterosexual characters","living characters",5,"1964"
"5137","skoll (earth-616)","secret identity","bad characters","","","male characters","heterosexual characters","living characters",5,"1964"
"5138","yogi dakor (earth-616)","","bad characters","","black hair","male characters","heterosexual characters","living characters",5,"1964"
"5139","anthony baskerville (earth-616)","","bad characters","","","male characters","heterosexual characters","living characters",5,"1965"
"5140","axonn-karr (earth-616)","","good characters","","","male characters","heterosexual characters","living characters",5,"1965"
"5141","ularic (earth-616)","","good characters","","","male characters","heterosexual characters","living characters",5,"1965"
"5142","behemoth (atlantean beast) (earth-616)","","","black eyes","red hair","","heterosexual characters","living characters",5,"1966"
